time,tp
2009-03-28 07:00:00,0.00015242025
2009-03-28 08:00:00,0.00013316795
2009-03-28 09:00:00,0.00013236515
2009-03-28 10:00:00,0.00012755208
2009-03-28 11:00:00,3.208965e-05
2009-03-28 12:00:00,8.022413e-06
2009-03-28 13:00:00,6.418675e-06
2009-03-28 14:00:00,1.6056001e-06
2009-03-28 15:00:00,0.0
2009-03-28 16:00:00,0.0
2009-03-28 17:00:00,0.0
2009-03-28 18:00:00,0.0
2009-03-28 19:00:00,0.0
2009-03-28 20:00:00,0.0
2009-03-28 21:00:00,0.0
2009-03-28 22:00:00,0.0
2009-03-28 23:00:00,0.0
2009-03-29 00:00:00,0.0
2009-03-29 01:00:00,0.0
2009-03-29 02:00:00,0.0
2009-03-29 03:00:00,0.0
2009-03-29 04:00:00,0.0
2009-03-29 05:00:00,0.0
2009-03-29 06:00:00,3.8506463e-05
2009-03-29 07:00:00,5.8561563e-05
2009-03-29 08:00:00,0.00010509044
2009-03-29 09:00:00,2.4870038e-05
2009-03-29 10:00:00,3.7705526e-05
2009-03-29 11:00:00,4.0913e-05
2009-03-29 12:00:00,5.8561563e-05
2009-03-29 13:00:00,4.6528876e-05
2009-03-29 14:00:00,2.4870038e-05
2009-03-29 15:00:00,2.3264438e-05
2009-03-29 16:00:00,4.17158e-05
2009-03-29 17:00:00,5.214475e-05
2009-03-29 18:00:00,9.9474564e-05
2009-03-29 19:00:00,7.219985e-05
2009-03-29 20:00:00,9.225495e-05
2009-03-29 21:00:00,0.0001018811
2009-03-29 22:00:00,0.0001427941
2009-03-29 23:00:00,0.0002855882
2009-03-30 00:00:00,0.00040431507
2009-03-30 01:00:00,0.00053026155
2009-03-30 02:00:00,0.0005045906
2009-03-30 03:00:00,0.00047410652
2009-03-30 04:00:00,0.00038345717
2009-03-30 05:00:00,0.00030002743
2009-03-30 06:00:00,0.00017969683
2009-03-30 07:00:00,0.00019814633
2009-03-30 08:00:00,0.00012995861
2009-03-30 09:00:00,0.000110706314
2009-03-30 10:00:00,0.00013717823
2009-03-30 11:00:00,0.000120332465
2009-03-30 12:00:00,0.00023023598
2009-03-30 13:00:00,0.00012514554
2009-03-30 14:00:00,0.0001620464
2009-03-30 15:00:00,0.0001427941
2009-03-30 16:00:00,9.305775e-05
2009-03-30 17:00:00,5.214475e-05
2009-03-30 18:00:00,3.8506463e-05
2009-03-30 19:00:00,3.128685e-05
2009-03-30 20:00:00,1.9254163e-05
2009-03-30 21:00:00,1.203455e-05
2009-03-30 22:00:00,9.628013e-06
2009-03-30 23:00:00,5.615875e-06
2009-03-31 00:00:00,2.4065375e-06
2009-03-31 01:00:00,3.2093376e-06
2009-03-31 02:00:00,1.6847625e-05
2009-03-31 03:00:00,1.203455e-05
2009-03-31 04:00:00,1.123175e-05
2009-03-31 05:00:00,1.203455e-05
2009-03-31 06:00:00,1.4441088e-05
2009-03-31 07:00:00,8.663908e-05
2009-03-31 08:00:00,8.10232e-05
2009-03-31 09:00:00,3.6099926e-05
2009-03-31 10:00:00,1.4441088e-05
2009-03-31 11:00:00,5.615875e-06
2009-03-31 12:00:00,3.2093376e-06
2009-03-31 13:00:00,1.8451363e-05
2009-03-31 14:00:00,6.7386776e-05
2009-03-31 15:00:00,9.546429e-05
2009-03-31 16:00:00,5.9364364e-05
2009-03-31 17:00:00,2.8880313e-05
2009-03-31 18:00:00,5.615875e-06
2009-03-31 19:00:00,0.0
2009-03-31 20:00:00,0.0
2009-03-31 21:00:00,0.0
2009-03-31 22:00:00,0.0
2009-03-31 23:00:00,0.0
2009-04-01 00:00:00,8.0280006e-07
2009-04-01 01:00:00,8.0280006e-07
2009-04-01 02:00:00,8.0280006e-07
2009-04-01 03:00:00,0.0
2009-04-01 04:00:00,0.0
2009-04-01 05:00:00,0.0
2009-04-01 06:00:00,0.0
2009-04-01 07:00:00,0.0
2009-04-01 08:00:00,0.0
2009-04-01 09:00:00,2.9683113e-05
2009-04-01 10:00:00,1.6847625e-05
2009-04-01 11:00:00,1.2835488e-05
2009-04-01 12:00:00,8.0280006e-07
2009-04-01 13:00:00,0.0
2009-04-01 14:00:00,0.0
2009-04-01 15:00:00,0.0
2009-04-01 16:00:00,0.0
2009-04-01 17:00:00,4.813075e-06
2009-04-01 18:00:00,5.615875e-06
2009-04-01 19:00:00,4.0121377e-06
2009-04-01 20:00:00,0.0
2009-04-01 21:00:00,0.0
2009-04-01 22:00:00,0.0
2009-04-01 23:00:00,0.0
2009-04-02 00:00:00,0.0
2009-04-02 01:00:00,0.0
2009-04-02 02:00:00,0.0
2009-04-02 03:00:00,0.0
2009-04-02 04:00:00,0.0
2009-04-02 05:00:00,0.0
2009-04-02 06:00:00,5.8561563e-05
2009-04-02 07:00:00,4.8132613e-05
2009-04-02 08:00:00,1.042895e-05
2009-04-02 09:00:00,4.0121377e-06
2009-04-02 10:00:00,1.6056001e-06
2009-04-02 11:00:00,3.9309263e-05
2009-04-02 12:00:00,5.615875e-06
2009-04-02 13:00:00,8.0280006e-07
2009-04-02 14:00:00,0.0
2009-04-02 15:00:00,0.0
2009-04-02 16:00:00,0.0
2009-04-02 17:00:00,0.0
2009-04-02 18:00:00,0.0
2009-04-02 19:00:00,0.0
2009-04-02 20:00:00,0.0
2009-04-02 21:00:00,0.0
2009-04-02 22:00:00,0.0
2009-04-02 23:00:00,0.0
2009-04-03 00:00:00,0.0
2009-04-03 01:00:00,0.0
2009-04-03 02:00:00,0.0
2009-04-03 03:00:00,0.0
2009-04-03 04:00:00,0.0
2009-04-03 05:00:00,4.6528876e-05
2009-04-03 06:00:00,3.2890588e-05
2009-04-03 07:00:00,0.000109100714
2009-04-03 08:00:00,2.24635e-05
2009-04-03 09:00:00,3.6902726e-05
2009-04-03 10:00:00,3.9309263e-05
2009-04-03 11:00:00,3.128685e-05
2009-04-03 12:00:00,3.7705526e-05
2009-04-03 13:00:00,5.6957826e-05
2009-04-03 14:00:00,4.331954e-05
2009-04-03 15:00:00,1.123175e-05
2009-04-03 16:00:00,0.0
2009-04-03 17:00:00,0.0
2009-04-03 18:00:00,0.0
2009-04-03 19:00:00,0.0
2009-04-03 20:00:00,0.0
2009-04-03 21:00:00,0.0
2009-04-03 22:00:00,0.0
2009-04-03 23:00:00,0.0
2009-04-04 00:00:00,0.0
2009-04-04 01:00:00,0.0
2009-04-04 02:00:00,0.0
2009-04-04 03:00:00,0.0
2009-04-04 04:00:00,0.0
2009-04-04 05:00:00,1.6056001e-06
2009-04-04 06:00:00,0.00019333325
2009-04-04 07:00:00,0.00022221357
2009-04-04 08:00:00,4.25186e-05
2009-04-04 09:00:00,4.5726076e-05
2009-04-04 10:00:00,5.374849e-05
2009-04-04 11:00:00,6.337464e-05
2009-04-04 12:00:00,6.09681e-05
2009-04-04 13:00:00,4.25186e-05
2009-04-04 14:00:00,2.4870038e-05
2009-04-04 15:00:00,8.825213e-06
2009-04-04 16:00:00,3.2093376e-06
2009-04-04 17:00:00,1.6056001e-06
2009-04-04 18:00:00,1.6056001e-06
2009-04-04 19:00:00,8.0280006e-07
2009-04-04 20:00:00,8.0280006e-07
2009-04-04 21:00:00,8.0280006e-07
2009-04-04 22:00:00,1.6056001e-06
2009-04-04 23:00:00,3.2093376e-06
2009-04-05 00:00:00,3.2093376e-06
2009-04-05 01:00:00,4.0121377e-06
2009-04-05 02:00:00,4.0121377e-06
2009-04-05 03:00:00,3.2093376e-06
2009-04-05 04:00:00,8.0280006e-07
2009-04-05 05:00:00,0.0
2009-04-05 06:00:00,0.0
2009-04-05 07:00:00,0.0
2009-04-05 08:00:00,0.0
2009-04-05 09:00:00,0.0
2009-04-05 10:00:00,8.0280006e-07
2009-04-05 11:00:00,5.615875e-06
2009-04-05 12:00:00,1.6056001e-06
2009-04-05 13:00:00,0.0
2009-04-05 14:00:00,0.0
2009-04-05 15:00:00,0.0
2009-04-05 16:00:00,0.0
2009-04-05 17:00:00,0.0
2009-04-05 18:00:00,0.0
2009-04-05 19:00:00,0.0
2009-04-05 20:00:00,0.0
2009-04-05 21:00:00,0.0
2009-04-05 22:00:00,0.0
2009-04-05 23:00:00,0.0
2009-04-06 00:00:00,0.0
2009-04-06 01:00:00,0.0
2009-04-06 02:00:00,0.0
2009-04-06 03:00:00,0.0
2009-04-06 04:00:00,0.0
2009-04-06 05:00:00,0.0
2009-04-06 06:00:00,1.8451363e-05
2009-04-06 07:00:00,6.17709e-05
2009-04-06 08:00:00,6.418675e-06
2009-04-06 09:00:00,8.825213e-06
2009-04-06 10:00:00,6.418675e-06
2009-04-06 11:00:00,4.17158e-05
2009-04-06 12:00:00,3.2093376e-06
2009-04-06 13:00:00,8.0280006e-07
2009-04-06 14:00:00,1.6056001e-06
2009-04-06 15:00:00,4.813075e-06
2009-04-06 16:00:00,5.615875e-06
2009-04-06 17:00:00,7.2214752e-06
2009-04-06 18:00:00,2.4065375e-06
2009-04-06 19:00:00,0.0
2009-04-06 20:00:00,0.0
2009-04-06 21:00:00,0.0
2009-04-06 22:00:00,8.0280006e-07
2009-04-06 23:00:00,4.813075e-06
2009-04-07 00:00:00,1.2835488e-05
2009-04-07 01:00:00,7.2214752e-06
2009-04-07 02:00:00,1.6056001e-06
2009-04-07 03:00:00,7.6210126e-05
2009-04-07 04:00:00,0.00011792593
2009-04-07 05:00:00,4.8935413e-05
2009-04-07 06:00:00,5.9364364e-05
2009-04-07 07:00:00,7.380359e-05
2009-04-07 08:00:00,8.663908e-05
2009-04-07 09:00:00,0.00012434274
2009-04-07 10:00:00,0.00015322305
2009-04-07 11:00:00,2.7276576e-05
2009-04-07 12:00:00,8.022413e-06
2009-04-07 13:00:00,4.0121377e-06
2009-04-07 14:00:00,4.0121377e-06
2009-04-07 15:00:00,8.022413e-06
2009-04-07 16:00:00,9.628013e-06
2009-04-07 17:00:00,6.418675e-06
2009-04-07 18:00:00,1.6056001e-06
2009-04-07 19:00:00,1.6056001e-06
2009-04-07 20:00:00,0.0
2009-04-07 21:00:00,0.0
2009-04-07 22:00:00,0.0
2009-04-07 23:00:00,0.0
2009-04-08 00:00:00,0.0
2009-04-08 01:00:00,0.0
2009-04-08 02:00:00,0.0
2009-04-08 03:00:00,0.0
2009-04-08 04:00:00,0.0
2009-04-08 05:00:00,0.0
2009-04-08 06:00:00,0.0
2009-04-08 07:00:00,0.0
2009-04-08 08:00:00,2.4067238e-05
2009-04-08 09:00:00,5.6155026e-05
2009-04-08 10:00:00,3.2093376e-06
2009-04-08 11:00:00,3.2093376e-06
2009-04-08 12:00:00,1.6056001e-06
2009-04-08 13:00:00,8.0280006e-07
2009-04-08 14:00:00,0.0
2009-04-08 15:00:00,0.0
2009-04-08 16:00:00,0.0
2009-04-08 17:00:00,0.0
2009-04-08 18:00:00,0.0
2009-04-08 19:00:00,0.0
2009-04-08 20:00:00,0.0
2009-04-08 21:00:00,0.0
2009-04-08 22:00:00,0.0
2009-04-08 23:00:00,0.0
2009-04-09 00:00:00,0.0
2009-04-09 01:00:00,0.0
2009-04-09 02:00:00,0.0
2009-04-09 03:00:00,0.0
2009-04-09 04:00:00,0.0
2009-04-09 05:00:00,1.7648563e-05
2009-04-09 06:00:00,5.6155026e-05
2009-04-09 07:00:00,1.9254163e-05
2009-04-09 08:00:00,3.6902726e-05
2009-04-09 09:00:00,5.214475e-05
2009-04-09 10:00:00,4.9738213e-05
2009-04-09 11:00:00,0.00028237887
2009-04-09 12:00:00,8.022413e-06
2009-04-09 13:00:00,1.8451363e-05
2009-04-09 14:00:00,8.022413e-06
2009-04-09 15:00:00,1.6044825e-05
2009-04-09 16:00:00,2.24635e-05
2009-04-09 17:00:00,5.455129e-05
2009-04-09 18:00:00,9.9474564e-05
2009-04-09 19:00:00,0.00010829978
2009-04-09 20:00:00,7.0596114e-05
2009-04-09 21:00:00,2.4870038e-05
2009-04-09 22:00:00,2.4870038e-05
2009-04-09 23:00:00,4.6528876e-05
2009-04-10 00:00:00,8.423254e-05
2009-04-10 01:00:00,0.00013637729
2009-04-10 02:00:00,0.00014439784
2009-04-10 03:00:00,0.00010509044
2009-04-10 04:00:00,8.503534e-05
2009-04-10 05:00:00,9.546429e-05
2009-04-10 06:00:00,0.00024708174
2009-04-10 07:00:00,8.26288e-05
2009-04-10 08:00:00,7.6210126e-05
2009-04-10 09:00:00,8.1826e-05
2009-04-10 10:00:00,0.0003794469
2009-04-10 11:00:00,1.6847625e-05
2009-04-10 12:00:00,1.8451363e-05
2009-04-10 13:00:00,2.3264438e-05
2009-04-10 14:00:00,3.048405e-05
2009-04-10 15:00:00,2.16607e-05
2009-04-10 16:00:00,7.2214752e-06
2009-04-10 17:00:00,8.0280006e-07
2009-04-10 18:00:00,0.0
2009-04-10 19:00:00,0.0
2009-04-10 20:00:00,0.0
2009-04-10 21:00:00,0.0
2009-04-10 22:00:00,8.0280006e-07
2009-04-10 23:00:00,1.6056001e-06
2009-04-11 00:00:00,2.4065375e-06
2009-04-11 01:00:00,2.4065375e-06
2009-04-11 02:00:00,1.6056001e-06
2009-04-11 03:00:00,1.6056001e-06
2009-04-11 04:00:00,0.0
2009-04-11 05:00:00,0.0
2009-04-11 06:00:00,0.0
2009-04-11 07:00:00,0.0
2009-04-11 08:00:00,1.3638288e-05
2009-04-11 09:00:00,0.0
2009-04-11 10:00:00,0.0
2009-04-11 11:00:00,0.0
2009-04-11 12:00:00,0.0
2009-04-11 13:00:00,0.0
2009-04-11 14:00:00,0.0
2009-04-11 15:00:00,0.0
2009-04-11 16:00:00,0.0
2009-04-11 17:00:00,0.0
2009-04-11 18:00:00,0.0
2009-04-11 19:00:00,0.0
2009-04-11 20:00:00,0.0
2009-04-11 21:00:00,0.0
2009-04-11 22:00:00,0.0
2009-04-11 23:00:00,0.0
2009-04-12 00:00:00,0.0
2009-04-12 01:00:00,0.0
2009-04-12 02:00:00,0.0
2009-04-12 03:00:00,0.0
2009-04-12 04:00:00,0.0
2009-04-12 05:00:00,0.0
2009-04-12 06:00:00,0.0
2009-04-12 07:00:00,3.2093376e-06
2009-04-12 08:00:00,1.8451363e-05
2009-04-12 09:00:00,1.203455e-05
2009-04-12 10:00:00,2.7276576e-05
2009-04-12 11:00:00,3.2093376e-06
2009-04-12 12:00:00,0.0
2009-04-12 13:00:00,8.0280006e-07
2009-04-12 14:00:00,3.2093376e-06
2009-04-12 15:00:00,1.4441088e-05
2009-04-12 16:00:00,1.6056001e-06
2009-04-12 17:00:00,8.0280006e-07
2009-04-12 18:00:00,0.0
2009-04-12 19:00:00,0.0
2009-04-12 20:00:00,0.0
2009-04-12 21:00:00,0.0
2009-04-12 22:00:00,0.0
2009-04-12 23:00:00,0.0
2009-04-13 00:00:00,0.0
2009-04-13 01:00:00,0.0
2009-04-13 02:00:00,0.0
2009-04-13 03:00:00,0.0
2009-04-13 04:00:00,8.0280006e-07
2009-04-13 05:00:00,1.203455e-05
2009-04-13 06:00:00,4.8132613e-05
2009-04-13 07:00:00,8.0222264e-05
2009-04-13 08:00:00,8.744188e-05
2009-04-13 09:00:00,6.337464e-05
2009-04-13 10:00:00,4.492514e-05
2009-04-13 11:00:00,0.00022060797
2009-04-13 12:00:00,2.9683113e-05
2009-04-13 13:00:00,4.0121377e-06
2009-04-13 14:00:00,4.813075e-06
2009-04-13 15:00:00,8.0280006e-07
2009-04-13 16:00:00,0.0
2009-04-13 17:00:00,0.0
2009-04-13 18:00:00,0.0
2009-04-13 19:00:00,0.0
2009-04-13 20:00:00,0.0
2009-04-13 21:00:00,0.0
2009-04-13 22:00:00,0.0
2009-04-13 23:00:00,0.0
2009-04-14 00:00:00,0.0
2009-04-14 01:00:00,0.0
2009-04-14 02:00:00,0.0
2009-04-14 03:00:00,0.0
2009-04-14 04:00:00,0.0
2009-04-14 05:00:00,3.4496188e-05
2009-04-14 06:00:00,0.0
2009-04-14 07:00:00,2.4067238e-05
2009-04-14 08:00:00,2.16607e-05
2009-04-14 09:00:00,0.0
2009-04-14 10:00:00,0.0
2009-04-14 11:00:00,0.0
2009-04-14 12:00:00,0.0
2009-04-14 13:00:00,0.0
2009-04-14 14:00:00,0.0
2009-04-14 15:00:00,0.0
2009-04-14 16:00:00,0.0
2009-04-14 17:00:00,0.0
2009-04-14 18:00:00,0.0
2009-04-14 19:00:00,0.0
2009-04-14 20:00:00,0.0
2009-04-14 21:00:00,0.0
2009-04-14 22:00:00,0.0
2009-04-14 23:00:00,0.0
2009-04-15 00:00:00,0.0
2009-04-15 01:00:00,0.0
2009-04-15 02:00:00,0.0
2009-04-15 03:00:00,0.0
2009-04-15 04:00:00,0.0
2009-04-15 05:00:00,0.0
2009-04-15 06:00:00,0.0
2009-04-15 07:00:00,0.0
2009-04-15 08:00:00,0.0
2009-04-15 09:00:00,0.0
2009-04-15 10:00:00,0.0
2009-04-15 11:00:00,0.0
2009-04-15 12:00:00,0.0
2009-04-15 13:00:00,0.0
2009-04-15 14:00:00,0.0
2009-04-15 15:00:00,0.0
2009-04-15 16:00:00,0.0
2009-04-15 17:00:00,0.0
2009-04-15 18:00:00,0.0
2009-04-15 19:00:00,0.0
2009-04-15 20:00:00,0.0
2009-04-15 21:00:00,0.0
2009-04-15 22:00:00,0.0
2009-04-15 23:00:00,0.0
2009-04-16 00:00:00,0.0
2009-04-16 01:00:00,0.0
2009-04-16 02:00:00,0.0
2009-04-16 03:00:00,0.0
2009-04-16 04:00:00,4.0121377e-06
2009-04-16 05:00:00,2.7276576e-05
2009-04-16 06:00:00,5.6957826e-05
2009-04-16 07:00:00,8.9045614e-05
2009-04-16 08:00:00,9.706803e-05
2009-04-16 09:00:00,4.6528876e-05
2009-04-16 10:00:00,4.492514e-05
2009-04-16 11:00:00,3.8506463e-05
2009-04-16 12:00:00,2.7276576e-05
2009-04-16 13:00:00,2.24635e-05
2009-04-16 14:00:00,7.540919e-05
2009-04-16 15:00:00,0.00014840998
2009-04-16 16:00:00,0.00029040128
2009-04-16 17:00:00,0.00030163117
2009-04-16 18:00:00,0.00025911443
2009-04-16 19:00:00,0.00016846508
2009-04-16 20:00:00,0.00021098182
2009-04-16 21:00:00,0.0002639275
2009-04-16 22:00:00,0.00036019273
2009-04-16 23:00:00,9.546429e-05
2009-04-17 00:00:00,3.048405e-05
2009-04-17 01:00:00,9.628013e-06
2009-04-17 02:00:00,4.813075e-06
2009-04-17 03:00:00,1.123175e-05
2009-04-17 04:00:00,1.6044825e-05
2009-04-17 05:00:00,3.6099926e-05
2009-04-17 06:00:00,3.4496188e-05
2009-04-17 07:00:00,3.128685e-05
2009-04-17 08:00:00,0.0
2009-04-17 09:00:00,0.0
2009-04-17 10:00:00,0.0
2009-04-17 11:00:00,0.0
2009-04-17 12:00:00,0.0
2009-04-17 13:00:00,8.0280006e-07
2009-04-17 14:00:00,5.615875e-06
2009-04-17 15:00:00,1.6044825e-05
2009-04-17 16:00:00,2.4870038e-05
2009-04-17 17:00:00,3.5297126e-05
2009-04-17 18:00:00,2.4067238e-05
2009-04-17 19:00:00,8.0280006e-07
2009-04-17 20:00:00,0.0
2009-04-17 21:00:00,0.0
2009-04-17 22:00:00,0.0
2009-04-17 23:00:00,0.0
2009-04-18 00:00:00,0.0
2009-04-18 01:00:00,0.0
2009-04-18 02:00:00,0.0
2009-04-18 03:00:00,0.0
2009-04-18 04:00:00,0.0
2009-04-18 05:00:00,0.0
2009-04-18 06:00:00,0.0
2009-04-18 07:00:00,0.0
2009-04-18 08:00:00,1.6056001e-06
2009-04-18 09:00:00,3.2093376e-06
2009-04-18 10:00:00,4.813075e-06
2009-04-18 11:00:00,4.0121377e-06
2009-04-18 12:00:00,1.6056001e-06
2009-04-18 13:00:00,0.0
2009-04-18 14:00:00,0.0
2009-04-18 15:00:00,0.0
2009-04-18 16:00:00,8.0280006e-07
2009-04-18 17:00:00,0.0
2009-04-18 18:00:00,0.0
2009-04-18 19:00:00,0.0
2009-04-18 20:00:00,8.0280006e-07
2009-04-18 21:00:00,4.813075e-06
2009-04-18 22:00:00,1.6044825e-05
2009-04-18 23:00:00,2.8077513e-05
2009-04-19 00:00:00,2.4067238e-05
2009-04-19 01:00:00,1.042895e-05
2009-04-19 02:00:00,5.615875e-06
2009-04-19 03:00:00,4.0121377e-06
2009-04-19 04:00:00,4.0121377e-06
2009-04-19 05:00:00,1.042895e-05
2009-04-19 06:00:00,7.380359e-05
2009-04-19 07:00:00,0.00015803613
2009-04-19 08:00:00,0.0001427941
2009-04-19 09:00:00,0.00020055287
2009-04-19 10:00:00,7.139705e-05
2009-04-19 11:00:00,4.6528876e-05
2009-04-19 12:00:00,5.214475e-05
2009-04-19 13:00:00,4.9738213e-05
2009-04-19 14:00:00,7.380359e-05
2009-04-19 15:00:00,7.781573e-05
2009-04-19 16:00:00,5.134195e-05
2009-04-19 17:00:00,2.4067238e-05
2009-04-19 18:00:00,6.418675e-06
2009-04-19 19:00:00,0.0
2009-04-19 20:00:00,0.0
2009-04-19 21:00:00,0.0
2009-04-19 22:00:00,0.0
2009-04-19 23:00:00,0.0
2009-04-20 00:00:00,0.0
2009-04-20 01:00:00,8.0280006e-07
2009-04-20 02:00:00,8.0280006e-07
2009-04-20 03:00:00,0.0
2009-04-20 04:00:00,2.8880313e-05
2009-04-20 05:00:00,4.9738213e-05
2009-04-20 06:00:00,0.0
2009-04-20 07:00:00,0.0
2009-04-20 08:00:00,7.460639e-05
2009-04-20 09:00:00,3.6902726e-05
2009-04-20 10:00:00,5.6155026e-05
2009-04-20 11:00:00,8.0280006e-07
2009-04-20 12:00:00,0.0
2009-04-20 13:00:00,0.0
2009-04-20 14:00:00,0.0
2009-04-20 15:00:00,0.0
2009-04-20 16:00:00,0.0
2009-04-20 17:00:00,0.0
2009-04-20 18:00:00,0.0
2009-04-20 19:00:00,0.0
2009-04-20 20:00:00,0.0
2009-04-20 21:00:00,0.0
2009-04-20 22:00:00,0.0
2009-04-20 23:00:00,0.0
2009-04-21 00:00:00,0.0
2009-04-21 01:00:00,0.0
2009-04-21 02:00:00,0.0
2009-04-21 03:00:00,0.0
2009-04-21 04:00:00,0.0
2009-04-21 05:00:00,0.00011712313
2009-04-21 06:00:00,0.00012674928
2009-04-21 07:00:00,0.00015242025
2009-04-21 08:00:00,0.0003449507
2009-04-21 09:00:00,0.00013717823
2009-04-21 10:00:00,0.00010749698
2009-04-21 11:00:00,9.706803e-05
2009-04-21 12:00:00,5.615875e-06
2009-04-21 13:00:00,4.0112063e-05
2009-04-21 14:00:00,8.26288e-05
2009-04-21 15:00:00,4.412234e-05
2009-04-21 16:00:00,7.219985e-05
2009-04-21 17:00:00,6.6583976e-05
2009-04-21 18:00:00,6.5781176e-05
2009-04-21 19:00:00,7.2214752e-06
2009-04-21 20:00:00,8.0280006e-07
2009-04-21 21:00:00,0.0
2009-04-21 22:00:00,0.0
2009-04-21 23:00:00,0.0
2009-04-22 00:00:00,0.0
2009-04-22 01:00:00,0.0
2009-04-22 02:00:00,0.0
2009-04-22 03:00:00,0.0
2009-04-22 04:00:00,0.0
2009-04-22 05:00:00,5.214475e-05
2009-04-22 06:00:00,0.00011391379
2009-04-22 07:00:00,8.9045614e-05
2009-04-22 08:00:00,6.498024e-05
2009-04-22 09:00:00,5.535409e-05
2009-04-22 10:00:00,4.0112063e-05
2009-04-22 11:00:00,9.628013e-06
2009-04-22 12:00:00,8.0280006e-07
2009-04-22 13:00:00,8.0280006e-07
2009-04-22 14:00:00,8.022413e-06
2009-04-22 15:00:00,4.412234e-05
2009-04-22 16:00:00,8.1826e-05
2009-04-22 17:00:00,0.00015562959
2009-04-22 18:00:00,0.000100277364
2009-04-22 19:00:00,0.00011471659
2009-04-22 20:00:00,0.00015643239
2009-04-22 21:00:00,0.000120332465
2009-04-22 22:00:00,7.6210126e-05
2009-04-22 23:00:00,7.6210126e-05
2009-04-23 00:00:00,9.466149e-05
2009-04-23 01:00:00,0.00011311285
2009-04-23 02:00:00,0.0001427941
2009-04-23 03:00:00,0.00017006882
2009-04-23 04:00:00,0.00040511787
2009-04-23 05:00:00,0.0005206354
2009-04-23 06:00:00,0.00014520064
2009-04-23 07:00:00,6.09681e-05
2009-04-23 08:00:00,3.6099926e-05
2009-04-23 09:00:00,1.3638288e-05
2009-04-23 10:00:00,6.418675e-06
2009-04-23 11:00:00,1.6056001e-06
2009-04-23 12:00:00,1.6056001e-06
2009-04-23 13:00:00,0.0
2009-04-23 14:00:00,0.0
2009-04-23 15:00:00,0.0
2009-04-23 16:00:00,0.0
2009-04-23 17:00:00,0.0
2009-04-23 18:00:00,0.0
2009-04-23 19:00:00,0.0
2009-04-23 20:00:00,0.0
2009-04-23 21:00:00,8.0280006e-07
2009-04-23 22:00:00,8.0280006e-07
2009-04-23 23:00:00,1.6056001e-06
2009-04-24 00:00:00,2.4065375e-06
2009-04-24 01:00:00,2.4065375e-06
2009-04-24 02:00:00,8.0280006e-07
2009-04-24 03:00:00,8.0280006e-07
2009-04-24 04:00:00,0.0
2009-04-24 05:00:00,8.0280006e-07
2009-04-24 06:00:00,3.2093376e-06
2009-04-24 07:00:00,4.813075e-06
2009-04-24 08:00:00,4.0121377e-06
2009-04-24 09:00:00,3.2093376e-06
2009-04-24 10:00:00,5.615875e-06
2009-04-24 11:00:00,1.203455e-05
2009-04-24 12:00:00,8.0280006e-07
2009-04-24 13:00:00,1.6056001e-06
2009-04-24 14:00:00,0.0
2009-04-24 15:00:00,0.0
2009-04-24 16:00:00,0.0
2009-04-24 17:00:00,0.0
2009-04-24 18:00:00,0.0
2009-04-24 19:00:00,0.0
2009-04-24 20:00:00,0.0
2009-04-24 21:00:00,0.0
2009-04-24 22:00:00,0.0
2009-04-24 23:00:00,0.0
2009-04-25 00:00:00,0.0
2009-04-25 01:00:00,0.0
2009-04-25 02:00:00,0.0
2009-04-25 03:00:00,0.0
2009-04-25 04:00:00,0.0
2009-04-25 05:00:00,0.0
2009-04-25 06:00:00,0.0
2009-04-25 07:00:00,0.0
2009-04-25 08:00:00,0.0
2009-04-25 09:00:00,0.0
2009-04-25 10:00:00,0.0
